ID,What is your gender?,What is your age?,What was the most important consideration for you in choosing this project?,,,,,How interested are you in the following benefits?,,
,gender,age,Location,Price,Positive Reviews,Personalization,Custom dashboard templates,SQL tutorials ,More drag-and-drop features,More ready-made formulas
1,Female,35,Location,Price,Yes,Yes,Very interested,Neutral,Somewhat Interested,Neutral
2,Female,34,Location,Price,No,No,Somewhat Interested,Not Very Interested,Neutral,Neutral
3,Female,31,,Price,Yes,Yes,Neutral,Not at All Interested,Somewhat Interested,Neutral
4,Female,30,,Price,Yes,Yes,Not Very Interested,Neutral,Somewhat Interested,Neutral
5,Male,34,,,No,No,Not at All Interested,Neutral,Not Very Interested,Neutral
6,Female,34,,,Yes,Yes,Very interested,Neutral,Not at All Interested,Neutral
7,Female,37,,Price,Yes,Yes,Somewhat Interested,Neutral,Very interested,Neutral
8,Female,39,,Price,No,No,Neutral,Neutral,Somewhat Interested,Neutral
9,Female,36,,Price,Yes,Yes,Not Very Interested,Neutral,Neutral,Neutral
10,Female,38,,Price,Yes,Yes,Not at All Interested,Neutral,Not Very Interested,Neutral
11,Female,34,,Price,No,No,Somewhat Interested,Neutral,Not at All Interested,Neutral
12,Female,31,,,Yes,Yes,Neutral,Neutral,Somewhat Interested,Neutral
13,Female,30,,,Yes,Yes,Not Very Interested,Neutral,Neutral,Neutral
14,Female,34,,,No,No,Not at All Interested,Neutral,Not Very Interested,Neutral
15,Female,34,,Price,Yes,Yes,Very interested,Neutral,Not at All Interested,Neutral
16,Male,37,,Price,Yes,Yes,Somewhat Interested,Neutral,Very interested,Neutral
17,Male,39,,Price,No,No,Neutral,Neutral,Somewhat Interested,Neutral
18,Male,36,,Price,Yes,Yes,Not Very Interested,Neutral,Neutral,Neutral
19,Male,38,,Price,Yes,Yes,Somewhat Interested,Neutral,Not Very Interested,Neutral
20,Male,34,,,No,No,Neutral,Neutral,Somewhat Interested,Neutral
21,Male,31,,,Yes,Yes,Not Very Interested,Neutral,Neutral,Neutral
22,Male,30,,,Yes,Yes,Not at All Interested,Neutral,Not Very Interested,Neutral
23,Female,34,,,No,No,Very interested,Neutral,Not at All Interested,Neutral
24,Male,34,,,Yes,Yes,Somewhat Interested,Neutral,Very interested,Neutral
25,Female,37,,,Yes,Yes,Neutral,Neutral,Somewhat Interested,Neutral
26,Male,42,,,No,No,Not Very Interested,Neutral,Neutral,Neutral
27,Female,43,,Price,Yes,Yes,,Neutral,Neutral,Neutral
28,Female,45,,Price,Yes,Yes,Somewhat Interested,Neutral,Neutral,Neutral
29,Male,47,,Price,No,No,Neutral,Neutral,Neutral,Neutral
30,Male,48,,Price,Yes,Yes,Not Very Interested,Neutral,Neutral,Neutral
31,Male,48,,Price,Yes,No,Not at All Interested,Neutral,Neutral,Neutral
32,,42,,,No,Yes,Very interested,Neutral,Neutral,Neutral
33,,41,,,Yes,Yes,Somewhat Interested,Neutral,Neutral,Neutral
34,,42,,,Yes,No,Neutral,Neutral,Neutral,Neutral
35,,43,,Price,No,Yes,Not Very Interested,Neutral,Neutral,Neutral
36,,45,,Price,Yes,Yes,Very interested,Neutral,Neutral,Neutral
37,,47,,Price,Yes,No,Somewhat Interested,Neutral,Neutral,Neutral
38,,48,,Price,No,Yes,Neutral,Neutral,Neutral,Neutral
39,,48,,Price,Yes,Yes,Not Very Interested,Neutral,Neutral,Neutral
40,,42,,Price,Yes,No,Not at All Interested,Neutral,Neutral,Neutral
41,,41,,Price,No,Yes,Somewhat Interested,Neutral,Neutral,Neutral
42,,48,,Price,Yes,Yes,Neutral,Neutral,Neutral,Neutral
43,,42,,Price,Yes,No,Not Very Interested,Neutral,Neutral,Neutral
44,,41,,Price,No,Yes,Not at All Interested,Neutral,Neutral,Neutral
45,,42,,,Yes,Yes,Very interested,Neutral,Neutral,Neutral
46,,43,,Price,Yes,No,Somewhat Interested,Neutral,Neutral,Neutral
47,,45,,Price,No,Yes,Neutral,Neutral,Neutral,Neutral
48,,47,,Price,Yes,Yes,Not Very Interested,Neutral,Neutral,Neutral
49,,48,,Price,Yes,No,Somewhat Interested,Neutral,Neutral,Neutral
50,,48,,Price,No,Yes,Neutral,Neutral,Neutral,Neutral
51,,44,,Price,Yes,Yes,Not Very Interested,Neutral,Neutral,Neutral
52,,51,,Price,Yes,No,Not at All Interested,Neutral,Neutral,Neutral
53,,54,,Price,No,Yes,Very interested,Neutral,Neutral,Neutral
54,,54,,Price,Yes,Yes,Somewhat Interested,Neutral,Neutral,Neutral
55,,58,,Price,Yes,No,Neutral,Neutral,Neutral,Neutral
56,,57,,Price,No,Yes,Very interested,Neutral,Neutral,Neutral
57,,59,,Price,Yes,Yes,Somewhat Interested,Neutral,Neutral,Neutral
58,,54,,Price,Yes,No,Neutral,Not at All Interested,Neutral,Neutral
59,,51,,Price,No,Yes,Not Very Interested,Somewhat Interested,Neutral,Neutral
60,,51,,Price,Yes,Yes,Not at All Interested,Neutral,Neutral,Neutral
61,,50,,Price,Yes,No,Somewhat Interested,Not Very Interested,Neutral,Neutral
62,,58,,Price,No,Yes,Neutral,Not at All Interested,Neutral,Not at All Interested
63,,59,,Price,Yes,Yes,Not Very Interested,Very interested,Neutral,Very interested
64,,53,,Price,No,No,Not at All Interested,Somewhat Interested,Neutral,Neutral
65,,58,,Price,Yes,Yes,Very interested,Neutral,Neutral,Neutral
