ID,What is your gender?,What is your age?,What was the most important consideration for you in choosing this project?,,,,,How interested are you in the following benefits?,,
,gender,age,Location,Price,Positive Reviews,Personalization,Custom dashboard templates,SQL tutorials ,More drag-and-drop features,More ready-made formulas
1,Female,35,Location,Price,Yes,Yes,Neutral,Very interested,Somewhat Interested,Very Interested
2,Female,34,Location,Price,No,No,Somewhat uninterested,Very interested,Neutral,Somewhat Interested
3,Female,31,,Price,Yes,Yes,Somewhat uninterested,Neutral,Somewhat Interested,Very Interested
4,Female,30,,Price,Yes,Yes,Somewhat uninterested,Neutral,Neutral,Somewhat Interested
5,Male,34,,,No,No,,,,
6,Female,34,,,Yes,Yes,,,,
7,Female,37,,Price,Yes,Yes,,,,
8,Female,39,,Price,No,No,,,,
9,Female,36,,Price,Yes,Yes,,,,
10,Female,38,,Price,Yes,Yes,,,,
11,Female,34,,Price,No,No,,,,
12,Female,31,,,Yes,Yes,,,,
13,Female,30,,,Yes,Yes,,,,
14,Female,34,,,No,No,,,,
15,Female,34,,Price,Yes,Yes,,,,
16,Male,37,,Price,Yes,Yes,,,,
17,Male,39,,Price,No,No,,,,
18,Male,36,,Price,Yes,Yes,,,,
19,Male,38,,Price,Yes,Yes,,,,
20,Male,34,,,No,No,,,,
21,Male,31,,,Yes,Yes,,,,
22,Male,30,,,Yes,Yes,,,,
23,Female,34,,,No,No,,,,
24,Male,34,,,Yes,Yes,,,,
25,Female,37,,,Yes,Yes,,,,
26,Male,42,,,No,No,,,,
27,Female,43,,Price,Yes,Yes,,,,
28,Female,45,,Price,Yes,Yes,,,,
29,Male,47,,Price,No,No,,,,
30,Male,48,,Price,Yes,Yes,,,,
31,Male,48,,Price,Yes,No,,,,
32,,42,,,No,Yes,,,,
33,,41,,,Yes,Yes,,,,
34,,42,,,Yes,No,,,,
35,,43,,Price,No,Yes,,,,
36,,45,,Price,Yes,Yes,,,,
37,,47,,Price,Yes,No,,,,
38,,48,,Price,No,Yes,,,,
39,,48,,Price,Yes,Yes,,,,
40,,42,,Price,Yes,No,,,,
41,,41,,Price,No,Yes,,,,
42,,48,,Price,Yes,Yes,,,,
43,,42,,Price,Yes,No,,,,
44,,41,,Price,No,Yes,,,,
45,,42,,,Yes,Yes,,,,
46,,43,,Price,Yes,No,,,,
47,,45,,Price,No,Yes,,,,
48,,47,,Price,Yes,Yes,,,,
49,,48,,Price,Yes,No,,,,
50,,48,,Price,No,Yes,,,,
51,,44,,Price,Yes,Yes,,,,
52,,51,,Price,Yes,No,,,,
53,,54,,Price,No,Yes,,,,
54,,54,,Price,Yes,Yes,,,,
55,,58,,Price,Yes,No,,,,
56,,57,,Price,No,Yes,,,,
57,,59,,Price,Yes,Yes,,,,
58,,54,,Price,Yes,No,,,,
59,,51,,Price,No,Yes,,,,
60,,51,,Price,Yes,Yes,,,,
61,,50,,Price,Yes,No,,,,
62,,58,,Price,No,Yes,,,,
63,,59,,Price,Yes,Yes,,,,
64,,53,,Price,No,No,,,,
65,,58,,Price,Yes,Yes,,,,
66,,51,,Price,Yes,Yes,,,,
67,,50,,Price,No,No,,,,
68,,58,,Price,Yes,Yes,,,,
69,,59,,Price,Yes,Yes,,,,
70,,51,,Price,No,No,,,,
71,,50,,,Yes,Yes,,,,
72,,58,,,Yes,Yes,,,,
73,,59,,,No,No,,,,
74,,53,,,Yes,Yes,,,,
75,,61,,Price,Yes,Yes,,,,
76,,62,,Price,No,No,,,,
77,,62,,Price,Yes,Yes,,,,
78,,68,,Price,Yes,Yes,,,,
79,,68,,Price,No,No,,,,
80,,69,,,Yes,No,,,,
81,,69,,,Yes,Yes,,,,
82,,65,,Price,No,Yes,,,,
