LAT;;;;;6.93548;6.93548;6.93548;6.93548;6.93548;6.93548;6.93548;6.93548
LON;;;;;79.8487;79.8487;79.8487;79.8487;79.8487;79.8487;79.8487;79.8487
ASL;;;;;1.00000;1.00000;1.00000;1.00000;1.00000;1.00000;1.00000;1.00000
CITY;;;;;Colombo;Colombo;Colombo;Colombo;Colombo;Colombo;Colombo;Colombo
DOMAIN;;;;;NEMSIN;NEMSIN;NEMSIN;NEMSIN;NEMSIN;NEMSIN;NEMSIN;NEMSIN
LEVEL;;;;;2 m above gnd;2 m above gnd;sfc;sfc;sfc;sfc;10 m above gnd;10 m above gnd
NAME;;;;;Temperature;Relative Humidity;Total Precipitation (high resolution);Total Cloud Cover;Sunshine Duration;Shortwave Radiation;Wind Speed;Wind Direction
UNIT;;;;;°C;%;mm;%;min;W/m2;km/h;°
AGGREGATION;;;;;;;;;;;;
UTC_OFFSET;;;;;5;5;5;5;5;5;5;5

Year;Month;Day;Hour;Minute;Temperature  [2 m above gnd];Relative Humidity  [2 m above gnd];Total Precipitation (high resolution)  [sfc];Total Cloud Cover  [sfc];Sunshine Duration  [sfc];Shortwave Radiation  [sfc];Wind Speed  [10 m above gnd];Wind Direction  [10 m above gnd]
2020;02;24;00;00;22.98;81.00;0.00;15.90;-999.00;0.00;12.10;22.75
2020;02;24;01;00;21.88;88.00;0.00;30.00;0.00;0.00;12.43;22.11
2020;02;24;02;00;21.26;94.00;0.00;30.00;0.00;0.00;11.79;31.26
2020;02;24;03;00;20.77;96.00;0.00;30.00;0.00;0.00;11.99;41.35
2020;02;24;04;00;20.73;95.00;0.00;30.00;0.00;0.00;11.97;46.22
2020;02;24;05;00;20.68;95.00;0.00;30.00;0.00;0.00;11.72;47.49
2020;02;24;06;00;20.52;95.00;0.00;30.00;4.03;0.00;11.46;46.27
2020;02;24;07;00;23.31;83.00;0.00;30.00;40.85;110.36;12.77;40.43
2020;02;24;08;00;27.56;68.00;0.00;30.00;40.85;332.86;18.63;41.08
2020;02;24;09;00;30.38;58.00;0.00;30.00;40.85;526.88;20.39;47.86
2020;02;24;10;00;32.27;50.00;0.00;30.00;40.85;685.30;19.09;44.24
2020;02;24;11;00;33.63;46.00;0.00;6.60;40.85;829.48;17.38;39.96
2020;02;24;12;00;34.60;43.00;0.00;10.00;55.79;912.25;16.78;35.39
2020;02;24;13;00;35.08;42.00;0.00;10.00;53.62;865.97;16.30;30.53
2020;02;24;14;00;35.26;43.00;0.00;10.00;53.62;806.34;16.10;26.57
2020;02;24;15;00;35.05;43.00;0.00;10.00;53.62;673.73;15.94;25.41
2020;02;24;16;00;34.42;45.00;0.00;10.00;53.62;501.07;14.66;24.68
2020;02;24;17;00;28.58;76.00;0.00;27.00;53.62;304.38;14.66;245.32
2020;02;24;18;00;26.91;90.00;0.00;100.00;38.29;81.88;10.59;234.69
2020;02;24;19;00;27.40;88.00;0.00;100.00;0.00;0.00;10.01;217.69
2020;02;24;20;00;27.55;85.00;0.00;93.00;0.00;0.00;8.56;194.62
2020;02;24;21;00;27.38;82.00;0.00;10.00;0.00;0.00;9.78;173.66
2020;02;24;22;00;26.28;86.00;0.00;10.00;0.00;0.00;7.57;154.65
2020;02;24;23;00;25.25;91.00;0.00;10.00;0.00;0.00;5.99;122.74
2020;02;25;00;00;24.17;95.00;0.00;0.00;0.00;0.00;6.12;90.00
2020;02;25;01;00;23.41;96.00;0.00;0.00;0.00;0.00;6.03;72.65
2020;02;25;02;00;22.98;96.00;0.00;0.00;0.00;0.00;5.69;55.30
2020;02;25;03;00;22.71;95.00;0.00;0.00;0.00;0.00;5.90;37.57
2020;02;25;04;00;22.34;94.00;0.00;0.00;0.00;0.00;6.13;40.24
2020;02;25;05;00;21.79;94.00;0.00;0.00;0.00;0.00;6.49;56.31
2020;02;25;06;00;21.24;95.00;0.00;0.00;6.26;0.00;6.95;68.75
2020;02;25;07;00;23.77;84.00;0.00;0.00;60.00;108.58;6.38;73.61
2020;02;25;08;00;27.73;70.00;0.00;0.00;60.00;347.99;4.10;74.74
2020;02;25;09;00;29.93;61.00;0.00;0.00;60.00;568.71;0.72;90.00
2020;02;25;10;00;31.41;56.00;0.00;10.00;60.00;752.94;3.67;258.69
2020;02;25;11;00;32.23;53.00;0.00;10.00;53.62;837.49;7.56;270.00
2020;02;25;12;00;32.45;53.00;0.00;10.00;53.62;895.34;11.52;270.00
2020;02;25;13;00;31.49;60.00;0.00;10.00;53.62;745.82;16.56;270.00
2020;02;25;14;00;30.79;64.00;0.00;7.00;53.62;843.72;20.53;272.01
2020;02;25;15;00;30.07;68.00;0.00;10.00;55.53;722.68;20.90;280.92
2020;02;25;16;00;29.17;73.00;0.00;83.00;53.62;531.33;19.24;287.42
2020;02;25;17;00;27.92;85.00;0.00;100.00;7.02;256.32;19.56;276.34
2020;02;25;18;00;27.25;85.00;0.00;77.00;0.00;60.52;14.62;279.93
2020;02;25;19;00;27.22;84.00;0.00;50.00;0.00;0.00;8.05;259.70
2020;02;25;20;00;26.98;86.00;0.00;20.00;0.00;0.00;6.79;212.01
2020;02;25;21;00;26.61;88.00;0.00;0.00;0.00;0.00;9.11;161.57
2020;02;25;22;00;26.13;89.00;0.00;0.00;0.00;0.00;11.21;132.40
2020;02;25;23;00;25.42;91.00;0.00;0.00;0.00;0.00;9.66;116.57
2020;02;26;00;00;24.65;93.00;0.00;0.00;0.00;0.00;7.63;109.29
2020;02;26;01;00;24.14;93.00;0.00;0.00;0.00;0.00;6.57;99.46
2020;02;26;02;00;24.02;91.00;0.00;0.00;0.00;0.00;5.76;90.00
2020;02;26;03;00;23.66;91.00;0.00;0.00;0.00;0.00;5.41;86.19
2020;02;26;04;00;23.26;92.00;0.00;0.00;0.00;0.00;5.35;70.35
2020;02;26;05;00;22.76;91.00;0.00;0.00;0.00;0.00;5.99;57.26
2020;02;26;06;00;22.29;92.00;0.00;0.00;6.60;0.00;7.79;56.31
2020;02;26;07;00;24.72;83.00;0.00;0.00;60.00;108.58;7.90;59.93
2020;02;26;08;00;28.31;69.00;0.00;0.00;60.00;346.21;8.16;48.58
2020;02;26;09;00;30.23;61.00;0.00;0.00;60.00;564.26;6.73;15.52
2020;02;26;10;00;31.58;56.00;0.00;10.00;60.00;720.01;7.24;354.29
2020;02;26;11;00;32.85;51.00;0.00;10.00;53.62;830.37;6.99;348.11
2020;02;26;12;00;33.74;49.00;0.00;10.00;53.62;890.00;6.44;333.43
2020;02;26;13;00;33.80;50.00;0.00;10.00;53.62;881.10;8.40;300.96
2020;02;26;14;00;32.20;58.00;0.00;0.00;53.62;815.24;14.62;279.93
2020;02;26;15;00;30.01;69.00;0.00;9.00;60.00;719.12;21.60;270.00
2020;02;26;16;00;29.02;76.00;0.00;100.00;54.26;528.66;21.61;271.91
2020;02;26;17;00;28.19;84.00;0.00;100.00;0.00;274.12;17.73;275.83
2020;02;26;18;00;27.31;85.00;0.00;75.00;0.00;44.50;13.34;273.09
2020;02;26;19;00;27.06;85.00;0.00;50.00;0.00;0.00;9.53;259.11
2020;02;26;20;00;26.71;85.00;0.00;26.00;0.00;0.00;7.59;238.57
2020;02;26;21;00;26.46;86.00;0.00;10.00;0.00;0.00;7.57;205.35
2020;02;26;22;00;26.26;86.00;0.00;0.00;0.00;0.00;6.84;180.00
2020;02;26;23;00;26.08;86.00;0.00;0.00;0.00;0.00;5.40;143.13
2020;02;27;00;00;25.59;88.00;0.00;0.00;0.00;0.00;5.05;94.09
2020;02;27;01;00;24.91;91.00;0.00;0.00;0.00;0.00;5.50;58.39
2020;02;27;02;00;23.86;92.00;0.00;0.00;0.00;0.00;6.64;40.60
2020;02;27;03;00;22.28;96.00;0.00;0.00;0.00;0.00;7.39;43.03
2020;02;27;04;00;21.10;97.00;0.00;0.00;0.00;0.00;9.00;53.13
2020;02;27;05;00;20.67;96.00;0.00;0.60;0.00;0.00;10.38;56.31
2020;02;27;06;00;20.76;95.00;0.00;0.00;6.90;0.00;10.30;53.53
2020;02;27;07;00;23.27;85.00;0.00;0.00;60.00;114.81;9.02;61.39
2020;02;27;08;00;27.58;68.00;0.00;0.00;60.00;354.22;8.71;51.71
2020;02;27;09;00;30.01;61.00;0.00;0.00;60.00;572.27;6.37;42.71
2020;02;27;10;00;31.72;54.00;0.00;0.00;60.00;756.50;6.19;35.54
2020;02;27;11;00;33.32;46.00;0.00;0.00;60.00;886.44;6.99;11.89
